shipping_id,rating,feedback
4445,3,"The delivery was okay, but I wish there were more updates on the tracking information."
3422,3,"The delivery was on time, but the packaging could have been better protected."
361,2,The delivery was delayed without any explanation or updates.
3116,4,The package arrived well before the estimated delivery date. Excellent service!
3463,5,"Great experience! The courier was friendly, and the tracking updates were accurate."
251,5,Fast and efficient delivery. The package was handled with care.
2173,5,"The delivery process was seamless, and the package arrived without any issues."
3685,5,I was impressed with the secure packaging and prompt delivery. Everything arrived in perfect condition.
2475,1,The courier was rude and left the package at the wrong address.
994,5,"The delivery process was seamless, and the package arrived without any issues."
1361,1,"The tracking information was inaccurate, and the package arrived much later than expected."
292,5,"Great experience! The courier was friendly, and the tracking updates were accurate."
1963,2,The courier was rude and left the package at the wrong address.
2870,2,The package arrived late and was slightly damaged. Not happy with the service.
1938,2,The courier was rude and left the package at the wrong address.
542,4,I was impressed with the secure packaging and prompt delivery. Everything arrived in perfect condition.
2447,5,I was impressed with the secure packaging and prompt delivery. Everything arrived in perfect condition.
3997,2,The package arrived damaged due to poor packaging. Very disappointed.
4085,5,The package arrived well before the estimated delivery date. Excellent service!
1000,5,"The delivery process was seamless, and the package arrived without any issues."
2375,3,"It was an average experience; nothing stood out, but no issues either."
2404,5,I was impressed with the secure packaging and prompt delivery. Everything arrived in perfect condition.
3066,3,"The delivery was neither too fast nor too slow; overall, a satisfactory experience."
1696,3,"The delivery was on time, but the packaging could have been better protected."
2538,1,The courier was rude and left the package at the wrong address.
3846,1,The delivery was delayed without any explanation or updates.
1514,2,The delivery was delayed without any explanation or updates.
1581,1,The courier was rude and left the package at the wrong address.
1272,1,The package arrived late and was slightly damaged. Not happy with the service.
1290,2,The delivery was delayed without any explanation or updates.
2293,1,The courier was rude and left the package at the wrong address.
1126,2,The courier was rude and left the package at the wrong address.
155,3,"The delivery was neither too fast nor too slow; overall, a satisfactory experience."
2269,5,"Great experience! The courier was friendly, and the tracking updates were accurate."
4912,3,"The package arrived slightly late, but the product was in good condition."
423,3,"The delivery was neither too fast nor too slow; overall, a satisfactory experience."
4551,1,The courier was rude and left the package at the wrong address.
383,3,"The delivery was neither too fast nor too slow; overall, a satisfactory experience."
285,5,Fast and efficient delivery. The package was handled with care.
209,4,"The delivery process was seamless, and the package arrived without any issues."
1138,2,The package arrived late and was slightly damaged. Not happy with the service.
3565,2,The package arrived late and was slightly damaged. Not happy with the service.
3177,5,I was impressed with the secure packaging and prompt delivery. Everything arrived in perfect condition.
2093,4,Fast and efficient delivery. The package was handled with care.
3158,4,"The delivery process was seamless, and the package arrived without any issues."
3704,3,"The package arrived slightly late, but the product was in good condition."
953,3,"The package arrived slightly late, but the product was in good condition."
3558,5,The package arrived well before the estimated delivery date. Excellent service!
2587,2,The package arrived damaged due to poor packaging. Very disappointed.
3977,3,"It was an average experience; nothing stood out, but no issues either."
669,5,The package arrived well before the estimated delivery date. Excellent service!
751,5,Fast and efficient delivery. The package was handled with care.
1496,4,"Great experience! The courier was friendly, and the tracking updates were accurate."
2817,1,The package arrived damaged due to poor packaging. Very disappointed.
4330,3,"The delivery was okay, but I wish there were more updates on the tracking information."
